the_geom,the_geom_webmercator,collection_date,count,test_result,etl_timestamp,objectid
,,2024-02-12 05:00:00+00,139,positive,2024-12-09 16:00:01.938486+00,283436
,,2023-10-20 04:00:00+00,127,negative,2024-12-09 16:00:01.938486+00,283437
,,2021-12-23 05:00:00+00,10515,negative,2024-12-09 16:00:01.938486+00,283438
,,2021-08-24 04:00:00+00,410,positive,2024-12-09 16:00:01.938486+00,283439
,,2020-04-15 04:00:00+00,538,positive,2024-12-09 16:00:01.938486+00,283440
,,2021-12-30 05:00:00+00,6662,negative,2024-12-09 16:00:01.938486+00,283441
,,2023-10-07 04:00:00+00,130,negative,2024-12-09 16:00:01.938486+00,283442
,,2022-05-10 04:00:00+00,3491,negative,2024-12-09 16:00:01.938486+00,283443
,,2021-08-17 04:00:00+00,361,positive,2024-12-09 16:00:01.938486+00,283444
,,2020-08-14 04:00:00+00,4022,negative,2024-12-09 16:00:01.938486+00,283445
,,2022-09-02 04:00:00+00,214,positive,2024-12-09 16:00:01.938486+00,283446
,,2024-02-25 05:00:00+00,43,positive,2024-12-09 16:00:01.938486+00,283447
,,2023-05-25 04:00:00+00,21,positive,2024-12-09 16:00:01.938486+00,283448
,,2020-12-15 05:00:00+00,1016,positive,2024-12-09 16:00:01.938486+00,283449
,,2023-01-12 05:00:00+00,999,negative,2024-12-09 16:00:01.938486+00,283450
,,2021-04-07 04:00:00+00,10463,negative,2024-12-09 16:00:01.938486+00,283451
,,2021-07-30 04:00:00+00,3847,negative,2024-12-09 16:00:01.938486+00,283452
,,2020-08-28 04:00:00+00,166,positive,2024-12-09 16:00:01.938486+00,283453
,,2024-03-06 05:00:00+00,202,negative,2024-12-09 16:00:01.938486+00,283454
,,2020-05-03 04:00:00+00,914,negative,2024-12-09 16:00:01.938486+00,283455
,,2021-12-16 05:00:00+00,1037,positive,2024-12-09 16:00:01.938486+00,283456
,,2022-04-18 04:00:00+00,321,positive,2024-12-09 16:00:01.938486+00,283457
,,2022-08-23 04:00:00+00,1738,negative,2024-12-09 16:00:01.938486+00,283458
,,2023-10-29 04:00:00+00,50,positive,2024-12-09 16:00:01.938486+00,283459
,,2021-01-19 05:00:00+00,9164,negative,2024-12-09 16:00:01.938486+00,283460
,,2023-03-04 05:00:00+00,56,positive,2024-12-09 16:00:01.938486+00,283461
,,2021-06-07 04:00:00+00,41,positive,2024-12-09 16:00:01.938486+00,283462
,,2023-07-09 04:00:00+00,80,negative,2024-12-09 16:00:01.938486+00,283463
,,2022-03-12 05:00:00+00,20,positive,2024-12-09 16:00:01.938486+00,283464
,,2024-04-02 04:00:00+00,170,negative,2024-12-09 16:00:01.938486+00,283465
,,2020-05-28 04:00:00+00,2102,negative,2024-12-09 16:00:01.938486+00,283466
,,2022-07-27 04:00:00+00,2196,negative,2024-12-09 16:00:01.938486+00,283467
,,2021-11-07 04:00:00+00,108,positive,2024-12-09 16:00:01.938486+00,283468
,,2023-12-05 05:00:00+00,104,positive,2024-12-09 16:00:01.938486+00,283469
,,2020-10-06 04:00:00+00,211,positive,2024-12-09 16:00:01.938486+00,283470
,,2021-07-05 04:00:00+00,1631,negative,2024-12-09 16:00:01.938486+00,283471
,,2022-12-05 05:00:00+00,271,positive,2024-12-09 16:00:01.938486+00,283472
,,2023-03-28 04:00:00+00,822,negative,2024-12-09 16:00:01.938486+00,283473
,,2020-10-18 04:00:00+00,3953,negative,2024-12-09 16:00:01.938486+00,283474
,,2021-02-28 05:00:00+00,175,positive,2024-12-09 16:00:01.938486+00,283475
,,2023-03-13 04:00:00+00,1066,negative,2024-12-09 16:00:01.938486+00,283476
,,2023-08-01 04:00:00+00,50,positive,2024-12-09 16:00:01.938486+00,283477
,,2024-04-29 04:00:00+00,103,negative,2024-12-09 16:00:01.938486+00,283478
,,2021-06-14 04:00:00+00,4770,negative,2024-12-09 16:00:01.938486+00,283479
,,2021-02-13 05:00:00+00,184,positive,2024-12-09 16:00:01.938486+00,283480
,,2022-06-18 04:00:00+00,1593,negative,2024-12-09 16:00:01.938486+00,283481
,,2023-12-30 05:00:00+00,124,positive,2024-12-09 16:00:01.938486+00,283482
,,2021-10-15 04:00:00+00,268,positive,2024-12-09 16:00:01.938486+00,283483
,,2022-02-05 05:00:00+00,2063,negative,2024-12-09 16:00:01.938486+00,283484
,,2023-08-29 04:00:00+00,233,negative,2024-12-09 16:00:01.938486+00,283485
